SSC,Chemistry,HSC,Merit,JEE,Final,Admittance
94.73,78,87.69,95.99337326,100,41,1
92.73,84,77.08,95.80891097,120,41,1
95.27,49,76.15,90.41100843,97,44,1
92.73,82,87.54,96.8659,114,46,1
89.09,76,85.54,91.97941467,75,41,1
93.64,82,83.69,93.5897225,95,26,0
79.82,53,70,73.69540948,66,31,0
91.45,58,84.92,92.3622,85,40,1
86.8,73,85.54,94.20810391,96,40,1
95,79,87.54,96.33520692,113,49,1
88.55,66,73.08,85.82636526,67,37,1
94.36,71,79.69,96.12007228,109,30,0
90.18,74,74,88.61519839,87,44,1
86.18,76,82.15,80.78934386,50,37,1
91.27,75,89.54,91.42426053,72,45,1
91.27,76,84.15,97.63542619,128,39,1
78.55,69,75.08,95.03313255,116,43,1
91.64,69,80.62,96.11816418,120,39,1
91,94,85.2,86.92539,105,43,1
94,95,92.6,95.93196417,120,39,1
90.36,88,90.92,97.0864,111,38,1
85.23,83,85.23,95.07377954,93,52,1
92.73,79,81.08,92.89033443,84,39,1
92.91,69,88.31,96.6064,112,44,1
89.64,84,86.77,96.46410459,105,41,1
92,79,85.85,97.01611765,118,42,1
92.73,75,78.31,94.00236369,97,41,1
85.09,50,71.54,80.44522529,59,34,0
93.82,84,89.54,93.252,81,40,1
93.45,73,87.69,95.99475764,106,41,1
88.55,68,82,88.07144206,63,30,0
90,75,83.38,94.8380957,110,32,0
96.36,87,92.15,95.73842316,94,41,1
89.64,79,89.54,95.6265,94,37,1
85.82,73,80.15,79.69833231,45,28,0
94.55,73,81.38,95.72526242,104,49,1
87.8,73,78.92,90.79144871,81,40,1
96,92,95.6,96.47747086,136,0,0
88.36,63,77.08,86.01810277,62,38,1
91.27,72,87.54,81.42137875,47,35,0
84.73,73,76,94.60324066,100,24,0
87.64,60,71.69,74.05222273,45,34,0
78.73,66,74,86.55983925,68,38,1
79.8,86,78.8,75.10767436,55,27,0
98,80,87.85,97.4286,128,41,1
91.82,65,86.15,96.6307001,119,33,0
87.27,85,88.62,92.82726455,77,33,0
90.36,91,90,85.50530709,54,50,1
94.18,74,82.46,92.37162989,82,24,0
96.17,80,87.23,95.80418162,98,46,1
90.91,81,83.38,85.12129988,56,41,1
91.27,53,70,82.53576234,86,24,0
93.82,74,81.23,94.63339972,126,26,0
80.36,77,82.77,94.37248468,100,32,0
90.73,84,91.69,7281,166,0,0
76.6,85,73,92.67060089,120,34,0
74,66,76.62,90.82936045,93,34,0
86,53,74,73.51656113,44,36,1
85.8,66,79.54,94.13938194,106,34,0
85.45,75,76.77,90.56625869,72,28,0
88.73,82,89.38,96.50038829,107,42,1
95.82,85,86.15,97.3956,120,28,0
87.09,71,81.69,80.72221107,47,44,1
91.2,97.33,97.5,94.13781294,82,36,1
90,71,83.38,78.79779123,49,36,1
89.17,83,84.15,96.40407327,118,34,0
94,84,87.08,92.6216,78,48,1
94.18,76,86.62,96.19664074,108,48,1
95.6,91,93,94.18861918,118,40,1
91.45,84,88.62,95.7395889,96,44,1
94.18,84,87.08,84.39375963,52,44,1
83.64,82,82,91.89746587,74,26,0
